"","kingdom","phylum","class","order","family","genus","species"
"OTU2327:68grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Laetisaria",NA
"OTU2732:22grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe",NA
"OTU3829:82grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU2655:84grass","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys",NA
"OTU3879:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU3121:22grass","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys",NA
"OTU2178:31grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU3516:34grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Fusicladium",NA
"OTU2788:22grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU2258:105grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Davidiella","s__Davidiella_tassiana_SH216250.07FU"
"OTU3271:27grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Davidiella","s__Davidiella_tassiana_SH216250.07FU"
"OTU96:22grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"OTU451:26grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Oculimacula","s__Oculimacula_yallundae_SH186778.07FU"
"OTU1409:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps","s__Ophiocordyceps_heteropoda_SH209114.07FU"
"OTU1731:23grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU1999:23grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania",NA
"OTU2841:23grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_fam_Incertae_sedis","g__Rhodotorula","s__Rhodotorula_lamellibrachiae_SH205943.07FU"
"OTU858:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Claviceps",NA
"OTU3671:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Gaeumannomyces",NA
"OTU2748:23grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__Verrucaria_andesiatica_SH187382.07FU"
"OTU2620:23grass","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniales_fam_Incertae_sedis","g__Aecidium",NA
"OTU2741:23grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__Verrucaria_devensis_SH202824.07FU"
"OTU3398:23grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Phoma",NA
"OTU708:34grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Schwanniomyces","s__Schwanniomyces_yamadae_SH190095.07FU"
"OTU3353:23grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Pulchromyces","s__Pulchromyces_fimicola_SH213857.07FU"
"OTU3110:23grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Hannaella",NA
"OTU2618:35grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Macrorhabdus",NA
"OTU3524:23grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe_fraudans_SH180067.07FU"
"OTU3300:23grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnum","s__Lachnum_abnorme_SH196487.07FU"
"OTU2878:111grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU2407:23grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Hannaella",NA
"OTU2907:35grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU2338:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Spathulosporaceae","g__Spathulospora",NA
"OTU3088:23grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Hannaella",NA
"OTU3611:47grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Hydropunctaria","s__Hydropunctaria_orae_SH213877.07FU"
"OTU3880:23grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Collemataceae","g__Leptogium",NA
"OTU3011:23grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_fam_Incertae_sedis","g__Sporobolomyces",NA
"OTU2792:71grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Naumovozyma",NA
"OTU2244:23grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_fam_Incertae_sedis","g__Rhodotorula","s__Rhodotorula_lamellibrachiae_SH205943.07FU"
"OTU3716:35grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lyophyllaceae","g__Termitomyces",NA
"OTU2639:23grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_fam_Incertae_sedis","g__Sporobolomyces",NA
"OTU2684:23grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus",NA
"OTU2614:23grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Umbilicariales","f__Ophioparmaceae","g__Boreoplaca",NA
"OTU3449:47grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinales_Group_B",NA,NA
"OTU3593:71grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Humicola","s__Humicola_grisea_var._grisea_SH374010.07FU"
"OTU3413:23grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_fam_Incertae_sedis","g__Rhodotorula","s__Rhodotorula_acheniorum_SH221311.07FU"
"OTU3230:23grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania",NA
"OTU3656:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Spathulosporaceae","g__Spathulospora",NA
"OTU3109:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps","s__Ophiocordyceps_heteropoda_SH209114.07FU"
"OTU3659:23grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe_fraudans_SH180067.07FU"
"OTU3525:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Colletotrichum","s__Colletotrichum_destructivum_SH375584.07FU"
"OTU3098:35grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalotheca",NA
"OTU2389:59grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Colletotrichum","s__Colletotrichum_destructivum_SH375584.07FU"
"OTU2914:35grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Melanconidaceae","g__Melanconiella","s__Melanconiella_elegans_SH193403.07FU"
"OTU3235:23grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Acidomyces",NA
"OTU3536:35grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Derxomyces",NA
"OTU3776:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Lecythophora",NA
"OTU3624:59grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Hannaella",NA
"OTU3713:59grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Eurotiales_fam_Incertae_sedis","g__Thermomyces","s__Thermomyces_lanuginosus_SH185867.07FU"
"OTU2439:116grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU3670:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Spathulosporaceae","g__Spathulospora",NA
"OTU3474:23grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Emericella",NA
"OTU3594:71grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellaceae","g__Pseudocraterellus",NA
"OTU3780:23grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Myrothecium","s__Myrothecium_cinctum_SH200501.07FU"
"OTU3173:35grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","s__Beauveria_felina_SH212568.07FU"
"OTU3225:23grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Dipodascus",NA
"OTU721:24grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales",NA,NA,NA
"OTU343:24grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales",NA,NA,NA
"OTU1048:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__Phaeosphaeria_lycopodina_SH183016.07FU"
"OTU1104:24grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae",NA,NA
"OTU622:24grass","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,NA,NA
"OTU368:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU315:24grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Colletotrichum","s__Colletotrichum_lilii_SH261149.07FU"
"OTU759:24grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"OTU1176:88grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"OTU306:24grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU214:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Pyrenophora","s__Pyrenophora_tritici-repentis_SH193139.07FU"
"OTU749:24grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae",NA,NA
"OTU69:24grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae",NA,NA
"OTU1585:24grass","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Arthoniales",NA,NA,NA
"OTU1209:33grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU794:24grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Phacidiella",NA
"OTU3479:24grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gloeophyllales","f__Gloeophyllaceae","g__Veluticeps","s__Veluticeps_abietina_SH197315.07FU"
"OTU2678:84grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales",NA,NA,NA
"OTU2054:157grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU1553:24grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU2629:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum_nigrum_SH117088.07FU"
"OTU1717:26grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU2904:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Dothiorella","s__Dothiorella_iberica_SH195459.07FU"
"OTU2876:24grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Spathulosporaceae","g__Spathulospora",NA
"OTU2234:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU411:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU3549:115grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium_exasperatum_SH422672.07FU"
"OTU3483:24grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_wieringae_SH221435.07FU"
"OTU3302:143grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU2448:28grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Xylaria","s__Xylaria_schweinitzii_SH174450.07FU"
"OTU3239:136grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum_nigrum_SH117088.07FU"
"OTU3680:24grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecideales","f__Porpidiaceae","g__Porpidia",NA
"OTU1732:24grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Rodwayella",NA
"OTU3009:24grass","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae",NA,NA
"OTU310:120grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU3662:24grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Acidea","s__Acidea_extrema_SH184446.07FU"
"OTU668:48grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Melanelixia","s__Melanelixia_subaurifera_SH179328.07FU"
"OTU3256:152grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU904:26grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU3262:26grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU2918:158grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU3313:24grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_wieringae_SH221435.07FU"
"OTU2725:87grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU1100:150grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU2428:65grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU369:25grass","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Powellomyces",NA
"OTU1079:25grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae",NA,NA
"OTU957:25grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Podosphaera","s__Podosphaera_fugax_SH231076.07FU"
"OTU978:25grass","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiales_fam_Incertae_sedis","g__Bannoa","s__Bannoa_hahajimensis_SH219193.07FU"
"OTU1134:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU1864:25grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae",NA,NA
"OTU430:25grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Bondarzewiaceae",NA,NA
"OTU2468:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Togniniaceae","g__Phaeoacremonium","s__Phaeoacremonium_hungaricum_SH210202.07FU"
"OTU791:26grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"OTU605:25grass","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Candelariales","f__Candelariaceae","g__Candelaria","s__Candelaria_pacifica_SH191598.07FU"
"OTU1227:25grass","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Powellomyces",NA
"OTU881:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Septoria",NA
"OTU835:25grass","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales",NA,NA,NA
"OTU275:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Toxicocladosporium",NA
"OTU238:57grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU540:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Melanconidaceae","g__Melanconiella","s__Melanconiella_chrysodiscosporina_SH193398.07FU"
"OTU172:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"OTU2093:25grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU378:25grass","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU2406:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU1380:25grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus","s__Aspergillus_ustus_SH186268.07FU"
"OTU723:25grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"OTU1630:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU1652:25grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_curvatus_SH086040.07FU"
"OTU2032:25grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__Trichosporon_asahii_SH103015.07FU"
"OTU1222:25grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae",NA,NA
"OTU1169:25grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Junghuhnia",NA
"OTU1785:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Endoconidioma","s__Endoconidioma_populi_SH206393.07FU"
"OTU3877:85grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU669:124grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Podoscypha",NA
"OTU1854:25grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phaeomoniella",NA
"OTU2205:25grass","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales",NA,NA,NA
"OTU1627:25grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Macrorhabdus",NA
"OTU2291:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum_nigrum_SH117088.07FU"
"OTU384:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Dinemasporium",NA
"OTU3722:85grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU3164:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU1898:36grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU698:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Phyllosticta","s__Phyllosticta_telopeae_SH091776.07FU"
"OTU1925:149grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU525:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__Pyrenochaetopsis_leptospora_SH198996.07FU"
"OTU3139:85grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU3632:156grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Toxicocladosporium","s__Toxicocladosporium_strelitziae_SH202294.07FU"
"OTU3314:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU2861:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium",NA
"OTU3752:85grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU1298:105grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"OTU694:97grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU1608:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU1745:36grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU1720:38grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU2711:25grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU3281:85grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU283:26grass","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU2100:68grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Drechslera",NA
"OTU2173:27grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU2104:144grass","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Melampsoraceae","g__Melampsora",NA
"OTU3090:25grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU364:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Myrothecium",NA
"OTU3380:26grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"OTU1433:89grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps",NA
"OTU2664:36grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU3426:92grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Strigulaceae","g__Strigula","s__Strigula_smaragdula_SH211054.07FU"
"OTU2883:158grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Davidiella","s__Davidiella_tassiana_SH216250.07FU"
"OTU295:96grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
